id;oauth_id;name;password;email;type;school;promotion;speciality;secret;website;affiliation;country;bracket;hidden;banned;verified;created
1;;Charles;$bcrypt-sha256$2b,12$0Y3536ySDXWdsor2xdJR1.$Fjg0wYGwRWIAIFICAKaM3S5XDvP6BCe;ethomas@chang.com;user;HEI;63;Médicale et Santé;;;;;;0;0;1;2021-01-14 15:26:30.862134
2;;Theresa;$bcrypt-sha256$2b,12$KBiTFyJMM6IoyBNYaiTELe$2RTqnz6jr6VulhH6eO8UcU3x2dERBV2;harveytimothy@hotmail.com;user;HEI;66;Entrepreneuriat;;;;;;0;0;1;2021-01-14 15:26:31.367325
3;924;Stacy;$bcrypt-sha256$2b,12$2SOjmuQZodO4G2aCkhZZ3e$MxAVfNnoMTxsI2h14WvZG9MErF35HVq;barrettanne@cruz-george.info;user;HEI;65;Conception Mécanique;;;Politics Squad;;;0;0;1;2021-01-14 15:26:31.813788
4;790;Carrie;$bcrypt-sha256$2b,12$VTMGz4c0FAYVZS6OsNV1de$fIDnFWxcHyh1/3NSoNOWXBvceg83Q8q;lindawilliams@gmail.com;user;ISEN;65;Big Data;;;Mother Team;;;0;0;1;2021-01-14 15:26:32.327510
5;;Anna;$bcrypt-sha256$2b,12$06.U3jbY5RQAK18CuU3jy.$V8bhrIDvwj4elMXnweAGUCJBdEuGPL.;ndavis@yahoo.com;user;ISA;65;Environnement;;;Here Team;;;0;0;1;2021-01-14 15:26:32.829726
6;;Dawn;$bcrypt-sha256$2b,12$oSAbJBmlSqaY2CW1PNvGI.$7B5XOtuj7XvUE09U79naxjGVsEL31LS;george22@hotmail.com;user;HEI;65;TP;;;;;;0;0;1;2021-01-14 15:26:33.325037
7;;Scott;$bcrypt-sha256$2b,12$OkcXRupAHAbEcSB0yHm1Uu$XE/L1vYaxx9DqsuZKL78bTCm2vEteBC;iedwards@moore.org;user;ISA;65;Agroéconomie;;;Treatment Corp;;;0;0;1;2021-01-14 15:26:33.801145
8;;Meagan;$bcrypt-sha256$2b,12$ZNCUOUGGirAtFP5cb2sqcO$4BBlavwxsCVTggk6OkZUVPUOUf606V.;yharmon@bates.com;user;ISA;66;Entrepreneuriat;;;;;;0;0;1;2021-01-14 15:26:34.305454
9;;Jeffery;$bcrypt-sha256$2b,12$eaMgvWkUPPnU3uddl4MmRe$oGPFHpiaPbVGxJxJnWra5bADVP/eOR.;ivan48@fowler-davis.com;user;ISA;63;Agroalimentaire;;;All Squad;;;0;0;1;2021-01-14 15:26:34.798767
10;;Antonio;$bcrypt-sha256$2b,12$xnVJ6/BnpkjMPip/20nb2u$bmfelCphboByKQ4qErKWWqpRaBl9IsC;suzanneday@tucker.com;user;ISA;65;Agriculture;;;Though Squad;;;0;0;1;2021-01-14 15:26:35.274007
11;639;Cheryl;$bcrypt-sha256$2b,12$GXcXisKMhyQIjN3zjk293e$C/ti.ShnfobRj1n6naS2CNHcnCdWq.O;darlene53@phillips-morrow.com;user;HEI;66;Architecture;;;Media Squad;;;0;0;1;2021-01-14 15:26:35.725699
12;;Jody;$bcrypt-sha256$2b,12$nZynHdxAxbLhZpVT89y4j.$VBr6Y20oi4Ie.2vvXu.ahs6fvK1hrCW;patricksoto@hotmail.com;user;ISEN;64;Electronique Embarqué;;;;;;0;0;1;2021-01-14 15:26:36.166754
13;761;Richard;$bcrypt-sha256$2b,12$w61q32uWn/pemY9xsSt5JO$MQt/jseZTQDmO6WTMcFwOt9r2T07oEK;brandonhall@martin.info;user;ISA;64;Agriculture;;;Audience Corp;;;0;0;1;2021-01-14 15:26:36.631513
14;;Tiffany;$bcrypt-sha256$2b,12$ZSkP9.CcPIGdM4Gkp82sZe$kUkHUGhcV7Q7ubmt1dpYUy0ymP8c/Dm;kflores@sullivan.org;user;ISA;65;Agroalimentaire;;;;;;0;0;1;2021-01-14 15:26:37.088608
15;;Jessica;$bcrypt-sha256$2b,12$0lNsiv0DBCiwwrfpnBwv6e$IhYkeyCSgHvYMj3yCDqnoA233PbAHVe;ann16@yahoo.com;user;ISA;65;Agroalimentaire;;;;;;0;0;1;2021-01-14 15:26:37.520509
16;416;Megan;$bcrypt-sha256$2b,12$AVV8XjiycBiIiikJU1LnI.$ylFg46rzfrNly8LbkT2pzNB9/NKHYG.;cmcdonald@wood-reyes.biz;user;ISEN;63;Objets Connectés;;;Market Team;;;0;0;1;2021-01-14 15:26:37.973441
17;;Thomas;$bcrypt-sha256$2b,12$PkGJyTCuR6.Pf3g6wOTXf.$fgu/OhCNUM0FHk4e3SsAGxWP3V9VQYm;mannchristine@gmail.com;user;HEI;65;Médicale et Santé;;;;;;0;0;1;2021-01-14 15:26:38.438433
